Station_Name,Station_Id_C,Lon,Lat
茫崖,51886,90.8516666666667,38.25
冷湖,52602,93.3322222222222,38.7438888888889
托勒,52633,98.4180555555556,38.8086111111111
野牛沟,52645,99.5425,38.4583333333333
祁连,52657,100.241666666667,38.1761111111111
小灶火,52707,93.6783333333333,36.7983333333333
大柴旦,52713,95.3527777777778,37.8522222222222
德令哈,52737,97.3758333333333,37.3744444444444
天峻,52745,99.0191666666667,37.2958333333333
刚察,52754,100.137777777778,37.3305555555556
门源,52765,101.610277777778,37.3788888888889
格尔木,52818,94.9083333333333,36.4205555555556
诺木洪,52825,96.4291666666667,36.4405555555556
乌兰,52833,98.4886111111111,36.93
都兰,52836,98.0963888888889,36.2958333333333
茶卡,52842,99.075,36.7880555555556
海晏,52853,101.010555555556,36.9011111111111
湟源,52855,101.251666666667,36.69
共和,52856,100.618611111111,36.2744444444444
大通,52862,101.659166666667,36.9661111111111
互助,52863,101.9475,36.8216666666667
西宁,52866,101.733055555556,36.6644444444444
贵德,52868,101.369444444444,36.0161111111111
湟中,52869,101.576944444444,36.495
乐都,52874,102.403888888889,36.4886111111111
民和,52876,102.839444444444,36.3252777777778
化隆,52877,102.2575,36.1033333333333
五道梁,52908,93.0808333333333,35.2158333333333
兴海,52943,99.9797222222222,35.5908333333333
贵南,52955,100.74,35.5866666666667
同德,52957,100.5975,35.2441666666667
尖扎,52963,102.0075,35.9363888888889
泽库,52968,101.470555555556,35.0386111111111
循化,52972,102.4575,35.8541666666667
同仁,52974,102.033888888889,35.5452777777778
沱沱河,56004,92.4375,34.2166666666667
治多,56016,95.6175,33.8544444444444
杂多,56018,95.2952777777778,32.8930555555556
曲麻莱,56021,95.8061111111111,34.1286111111111
玉树,56029,96.9641666666667,33.0013888888889
玛多,56033,98.2158333333333,34.9172222222222
清水河,56034,97.1377777777778,33.8052777777778
玛沁,56043,100.236666666667,34.475
甘德,56045,99.8927777777778,33.9616666666667
达日,56046,99.6475,33.7577777777778
河南,56065,101.601111111111,34.7344444444444
久治,56067,101.481944444444,33.4294444444444
囊谦,56125,96.48,32.2036111111111
斑玛,56151,100.741944444444,32.9308333333333
阿里(狮泉河),55228,80.083333,32.5
改则,55248,84.416667,32.15
班嘎,55279,90.016667,31.383333
安多,55294,91.1,32.35
那曲,55299,92.066667,31.483333
普兰,55437,81.25,30.283333
申扎,55472,88.633333,30.95
当雄,55493,91.1,30.483333
拉孜,55569,87.6,29.083333
日喀则,55578,88.883333,29.25
尼木,55585,90.166667,29.433333
拉萨,55591,91.133333,29.666667
山南,55598,91.766667,29.25
聂拉木,55655,85.966667,28.183333
定日,55664,87.083333,28.633333
江孜,55680,89.6,28.916667
浪卡子,55681,90.4,28.966667
错那,55690,91.95,27.983333
隆子,55696,92.466667,28.416667
帕里,55773,89.083333,27.733333
索县,56106,93.783333,31.883333
丁青,56116,95.6,31.416667
昌都,56137,97.166667,31.15
嘉黎,56202,93.283333,30.666667
洛隆,56223,95.833333,30.75
波密,56227,95.766667,29.866667
林芝,56312,94.333333,29.666667
左贡,56331,97.833333,29.666667
察隅,56434,97.466667,28.65
玛曲,56074,102.083333,34
合作,56080,102.9,35
乌鞘岭,52787,102.866667,37.2
木里,56459,101.266667,27.933333
九龙,56462,101.5,29
稻城,56357,100.3,29.05
巴塘,56247,99.1,30
理塘,56257,100.266667,30
康定,56374,101.966667,30.05
新龙,56251,100.316667,30.933333
道孚,56167,101.116667,30.983333
小金,56178,102.35,31
甘孜,56146,100,31.616667
德格,56144,98.583333,31.8
马尔康,56172,102.233333,31.9
色达,56152,100.333333,32.283333
松潘,56182,103.566667,32.65
红原,56173,102.55,32.8
石渠,56038,98.1,32.983333
若尔盖,56079,102.966667,33.583333
塔什库尔干,51804,75.23,37.78
